     DEBUG |  160 | Frontend             | 20/02/2026 23:57:04.094 |  - From optional: /home/runner/.kb4it/opt/resources/themes/blog
     DEBUG |  161 | Frontend             | 20/02/2026 23:57:04.094 |  - From global: /opt/pipx/venvs/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/blog
     DEBUG |  107 | Frontend             | 20/02/2026 23:57:04.094 | CONF[THEME] NAME[Blog] VERSION[0.1.0]
     DEBUG |  119 | Frontend             | 20/02/2026 23:57:04.094 | Registering Theme from /opt/pipx/venvs/kb4it/lib/python3.14/site-packages/kb4it/resources/themes/blog/logic
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.094 | [CONTROLLER] - Service[Theme] registered
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Getting service 'Theme'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Getting service 'DB'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Getting service 'Backend'
     DEBUG |  114 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Service 'Theme' started
     DEBUG |  241 | Backend              | 20/02/2026 23:57:04.095 | [CHECKS] - END
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Getting service 'Theme'
      INFO |  119 | Workflow             | 20/02/2026 23:57:04.095 | 2 - Get sources
     DEBUG |  915 | Theme                | 20/02/2026 23:57:04.095 | No sources generated by this theme
     DEBUG |  245 | Backend              | 20/02/2026 23:57:04.095 | [SOURCES] - START
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.095 | [CONTROLLER] - Getting service 'Theme'
     DEBUG |  269 | Backend              | 20/02/2026 23:57:04.098 | [DOC] - Added/Replaced 'About KB4IT' to your sources
     DEBUG |  288 | Backend              | 20/02/2026 23:57:04.098 | STATS - Found 10 asciidoctor documents in source directory
     DEBUG |  289 | Backend              | 20/02/2026 23:57:04.098 | [SOURCES] - END
      INFO |  123 | Workflow             | 20/02/2026 23:57:04.098 | 3 - Process sources
     DEBUG |  293 | Backend              | 20/02/2026 23:57:04.098 | [EXTRACTION] - START
     DEBUG |   39 | Processor            | 20/02/2026 23:57:04.098 | 20251214-0030.adoc: Success
     DEBUG |   60 | Database             | 20/02/2026 23:57:04.098 | DOC[20251214-0030.adoc] added to database
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Title] VALUE[Pixi: Managing Python Environments] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Topic] VALUE[Package management] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Python] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Pixi] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Pypi] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[project] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[build] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[dependency] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.099 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[environment] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.128 | DOC[20251214-0030.adoc] KEY[Updated] VALUE[2025-12-14 00:30:00] added
     DEBUG |   90 | Processor            | 20/02/2026 23:57:04.128 | DOC[20251214-0030.adoc] HASH[92ee8674e5f23e41c391ef48efc19d803eccf77fbb1cb5cb7dea626d9a09dfff]
     DEBUG |  186 | Backend              | 20/02/2026 23:57:04.128 | DOC[20251214-0030.adoc] targets to RESOURCE[20251214-0030.html]
     DEBUG |   39 | Processor            | 20/02/2026 23:57:04.128 | 20260216-EAT.adoc: Success
     DEBUG |   60 | Database             | 20/02/2026 23:57:04.128 | DOC[20260216-EAT.adoc] added to database
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.128 | DOC[20260216-EAT.adoc] KEY[Title] VALUE[KB4IT: Worflow amended: Now it EATs] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.128 | DOC[20260216-EAT.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.128 | DOC[20260216-EAT.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Topic] VALUE[Development] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Topic] VALUE[Refactoring] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Tag] VALUE[workflow] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Tag] VALUE[extraction] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Tag] VALUE[analysis] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Tag] VALUE[transformation] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] KEY[Updated] VALUE[2026-02-16 17:30:00] added
     DEBUG |   90 | Processor            | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] HASH[dd17ff8942fa773dedb245c06290f197690ffc11834edd38e9a611fc6b55905e]
     DEBUG |  186 | Backend              | 20/02/2026 23:57:04.129 | DOC[20260216-EAT.adoc] targets to RESOURCE[20260216-EAT.html]
     DEBUG |   39 | Processor            | 20/02/2026 23:57:04.129 | 20260221_0100.adoc: Success
     DEBUG |   60 | Database             | 20/02/2026 23:57:04.129 | DOC[20260221_0100.adoc] added to database
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260221_0100.adoc] KEY[Title] VALUE[Smart Index Generation: A New Approach for Blog Excerpt-Based Indexing] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260221_0100.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260221_0100.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   71 | Database             | 20/02/2026 23:57:04.129 | DOC[20260221_0100.adoc] KEY[Topic] VALUE[Development] added
