     DEBUG |  303 | Backend              | 31/12/2025 12:31:08.865 | CONF[APP] DIR[TARGET] VALUE[/home/runner/work/blog/blog/docs]
     DEBUG |  108 | Frontend             | 31/12/2025 12:31:08.866 | CONF[THEME] NAME[Blog] VERSION[0.1.0]
     DEBUG |  334 | Backend              | 31/12/2025 12:31:08.873 | [CHECKS] - END
      INFO |  103 | Workflow             | 31/12/2025 12:31:08.873 | Allow theme to generate sources
      INFO |  106 | Workflow             | 31/12/2025 12:31:08.873 | Get source documents
     DEBUG |  339 | Backend              | 31/12/2025 12:31:08.873 | [SOURCES] - START
   WARNING |  351 | Backend              | 31/12/2025 12:31:08.873 |   - Added missing 'About App' to your sources
     DEBUG |  360 | Backend              | 31/12/2025 12:31:08.874 | STATS - Found 8 asciidoctor documents in source directory
     DEBUG |  361 | Backend              | 31/12/2025 12:31:08.874 | [SOURCES] - END
      INFO |  108 | Workflow             | 31/12/2025 12:31:08.874 | Preprocessing
     DEBUG |  531 | Backend              | 31/12/2025 12:31:08.874 | [PREPROCESSING] - START
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] Title[Blog theme features a new index page]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] has 7 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] HASH[5504b6071d14d121fd975ad6cfa8b1b3e544bba6c454a40ee5291f80156e2d7f]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] KEY[Title] VALUE[Blog theme features a new index page] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.874 | DOC[20251208-2230.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Topic] VALUE[Development] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Product] VALUE[Mako] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Tag] VALUE[index] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Tag] VALUE[page] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.875 | DOC[20251208-2230.adoc] KEY[Tag] VALUE[template] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.934 | DOC[20251208-2230.adoc] KEY[Updated] VALUE[2025-12-08 23:00:00] added
     DEBUG |  221 | Backend              | 31/12/2025 12:31:08.934 | DOC[20251208-2230.adoc] targets to RESOURCE[20251208-2230.html]
     DEBUG |  402 | Backend              | 31/12/2025 12:31:08.934 | DOC[20251214-0030.adoc] Title[Pixi: Managing Python Environments]
     DEBUG |  407 | Backend              | 31/12/2025 12:31:08.934 | DOC[20251214-0030.adoc] has 7 keys
     DEBUG |   70 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] added to database
     DEBUG |  426 | Backend              | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] HASH[4f79527f984d318987ed6769962fc1793de116df0c0c9276ca2f0d46ecca779d]
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Title] VALUE[Pixi: Managing Python Environments] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Author] VALUE[Tomás Vírseda] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Category] VALUE[Post] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Category] VALUE[Bookmark] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Topic] VALUE[Package management] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Product] VALUE[KB4IT] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Python] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Pixi] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Product] VALUE[Pypi] added
     DEBUG |   81 | Database             | 31/12/2025 12:31:08.935 | DOC[20251214-0030.adoc] KEY[Tag] VALUE[project] added
